0xFFD01400 0x43014C30
0xFFD01404 0xB8603000
0xFFD01408 0x3303555E
0xFFD0140c 0x16000C3F
0xFFD01410 0x00000000
0xFFD01424 0x0000014F
0xFFD01428 0x000C5720
0xFFD01430 0x77777777
0xFFD01434 0xDCA20177
0xFFD0147c 0x0000A471
0xFFD01494 0x00010000
0xFFD0149c 0x0000E801
0xFFD01504 0x1FFFFFF0
0xFFD0150c 0x0FFFFFF4
0xFFD01514 0x0FFFFFF8
0xFFD0151c 0x0FFFFFFc
0xFFD20004 0x00000000
0xFFD20000 0x1FFF0E01
0xFFD015D0 0x00000620
0xFFD015D4 0x00000044
0xFFD015D8 0x00000000
0xFFD015DC 0x00000000
0xFFD015E0 0x00000001
0xFFD015E4 0x00203C18
0xFFD01620 0x00380000
0xFFD014B0 0x0000000E
0xFFD01480 0x00000001

